,base,clouds,cod,coord,dt,id,main,message,name,rain,sys,visibility,weather,wind
20,stations,{'all': 75},200,"{'lon': -159.32, 'lat': 22.08}",1512863760.0,5848280.0,"{'temp': 74.53, 'pressure': 1014, 'humidity': 78, 'temp_min': 71.6, 'temp_max': 77}",,Kapaa,,"{'type': 1, 'id': 833, 'message': 0.1674, 'country': 'US', 'sunrise': 1512925555, 'sunset': 1512964486}",16093.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 3.36, 'deg': 200}"
21,stations,{'all': 44},200,"{'lon': 168.33, 'lat': -46.6}",1512866680.0,2206939.0,"{'temp': 57.07, 'pressure': 1021.64, 'humidity': 100, 'temp_min': 57.07, 'temp_max': 57.07, 'sea_level': 1022.77, 'grnd_level': 1021.64}",,Bluff,,"{'message': 0.0035, 'country': 'NZ', 'sunrise': 1512838037, 'sunset': 1512894707}",,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]","{'speed': 24.72, 'deg': 274.502}"
22,stations,{'all': 80},200,"{'lon': 122.23, 'lat': -17.97}",1512864000.0,2075720.0,"{'temp': 78.8, 'pressure': 1011, 'humidity': 78, 'temp_min': 78.8, 'temp_max': 78.8}",,Broome,{'3h': 3.37},"{'type': 1, 'id': 8176, 'message': 0.1662, 'country': 'AU', 'sunrise': 1512853702, 'sunset': 1512901162}",10000.0,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]","{'speed': 10.29, 'deg': 90}"
23,stations,{'all': 40},200,"{'lon': -89.67, 'lat': 21.28}",1512863040.0,3521108.0,"{'temp': 66.2, 'pressure': 1023, 'humidity': 55, 'temp_min': 66.2, 'temp_max': 66.2}",,Progreso,,"{'type': 1, 'id': 3996, 'message': 0.1699, 'country': 'MX', 'sunrise': 1512908738, 'sunset': 1512947861}",11265.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]","{'speed': 5.82, 'deg': 360}"
24,stations,{'all': 24},200,"{'lon': 44.93, 'lat': 43.7}",1512866684.0,562086.0,"{'temp': 27.01, 'pressure': 1018.88, 'humidity': 85, 'temp_min': 27.01, 'temp_max': 27.01, 'sea_level': 1037.28, 'grnd_level': 1018.88}",,Galyugayevskaya,,"{'message': 0.166, 'country': 'RU', 'sunrise': 1512879776, 'sunset': 1512912189}",,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]","{'speed': 2.91, 'deg': 83.0023}"
25,,,404,,,,,city not found,,,,,,
26,stations,{'all': 24},200,"{'lon': 145.92, 'lat': -41.07}",1512866686.0,2173125.0,"{'temp': 61.84, 'pressure': 1031.53, 'humidity': 98, 'temp_min': 61.84, 'temp_max': 61.84, 'sea_level': 1034.24, 'grnd_level': 1031.53}",,Burnie,,"{'message': 0.1653, 'country': 'AU', 'sunrise': 1512844643, 'sunset': 1512898857}",,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]","{'speed': 19.35, 'deg': 270.502}"
27,stations,{'all': 8},200,"{'lon': 113.63, 'lat': -24.87}",1512866656.0,2074865.0,"{'temp': 73, 'pressure': 1022.05, 'humidity': 98, 'temp_min': 73, 'temp_max': 73, 'sea_level': 1023.34, 'grnd_level': 1022.05}",,Carnarvon,,"{'message': 0.1685, 'country': 'AU', 'sunrise': 1512854932, 'sunset': 1512904063}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '02d'}]","{'speed': 9.28, 'deg': 338.002}"
28,stations,{'all': 1},200,"{'lon': -106.31, 'lat': 42.87}",1512863580.0,5820705.0,"{'temp': 35.6, 'pressure': 1028, 'humidity': 43, 'temp_min': 35.6, 'temp_max': 35.6}",,Casper,,"{'type': 1, 'id': 3071, 'message': 0.166, 'country': 'US', 'sunrise': 1512915928, 'sunset': 1512948656}",16093.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 23.04, 'deg': 210, 'gust': 13.4}"
29,stations,{'all': 20},200,"{'lon': -70.92, 'lat': -53.15}",1512864000.0,3874787.0,"{'temp': 48.2, 'pressure': 1000, 'humidity': 61, 'temp_min': 48.2, 'temp_max': 48.2}",,Punta Arenas,,"{'type': 1, 'id': 4642, 'message': 0.1661, 'country': 'CL', 'sunrise': 1512893497, 'sunset': 1512954132}",10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]","{'speed': 21.92, 'deg': 260}"
